,iteration,index,x_1,x_2
0,0.0,1.0,-1.97605584835,4.02015151801
1,0.0,2.0,-2.05995611353,4.01396720675
2,0.0,3.0,-2.09943445886,3.82916918662
3,0.0,4.0,-1.86872071603,4.14413866927
4,0.0,5.0,-2.12726578209,4.0618213725
5,1.0,1.0,-1.97605584835,4.02015151801
6,1.0,2.0,-2.05995611353,4.01396720675
7,1.0,3.0,-2.09943445886,3.82916918662
8,1.0,4.0,-1.86872071603,4.14413866927
9,1.0,5.0,-2.12726578209,4.0618213725
10,2.0,1.0,-0.846509487429,2.97351888703
11,2.0,2.0,-1.66109418209,3.5956497725
12,2.0,3.0,1.12350397439,-3.14053914971
13,2.0,4.0,-0.776558764155,4.8933821213
14,2.0,5.0,-8.78090027579,2.78200514183
15,3.0,1.0,-0.846509487429,2.97351888703
16,3.0,2.0,-1.66109418209,3.5956497725
17,3.0,3.0,1.12350397439,-3.14053914971
18,3.0,4.0,-0.776558764155,4.8933821213
19,3.0,5.0,-8.78090027579,2.78200514183
20,4.0,1.0,-0.398898912525,3.17273733223
21,4.0,2.0,-2.04683706274,4.29761443869
22,4.0,3.0,1.41508680375,-3.342590881
23,4.0,4.0,-0.733255316489,5.27960406881
24,4.0,5.0,-9.05825866787,2.691380299
25,5.0,1.0,-0.398898912525,3.17273733223
26,5.0,2.0,-2.04683706274,4.29761443869
27,5.0,3.0,1.41508680375,-3.342590881
28,5.0,4.0,-0.733255316489,5.27960406881
29,5.0,5.0,-9.05825866787,2.691380299
30,6.0,1.0,1.6667929794,2.90118807285
31,6.0,2.0,-2.16341271856,4.66991395257
32,6.0,3.0,1.41349080377,-3.3521786357
33,6.0,4.0,-0.934900768832,5.4081015867
34,6.0,5.0,-9.09063325401,2.67435114631
35,7.0,1.0,1.6667929794,2.90118807285
36,7.0,2.0,-2.16341271856,4.66991395257
37,7.0,3.0,1.41349080377,-3.3521786357
38,7.0,4.0,-0.934900768832,5.4081015867
39,7.0,5.0,-9.09063325401,2.67435114631
40,8.0,1.0,3.27294245474,3.03450606119
41,8.0,2.0,-1.99817228064,4.58276784396
42,8.0,3.0,1.28561650867,-3.39351540531
43,8.0,4.0,-0.83819483488,5.30472906984
44,8.0,5.0,-9.09063325401,2.67435114631
45,9.0,1.0,3.27294245474,3.03450606119
46,9.0,2.0,-1.99817228064,4.58276784396
47,9.0,3.0,1.28561650867,-3.39351540531
48,9.0,4.0,-0.83819483488,5.30472906984
49,9.0,5.0,-9.09063325401,2.67435114631
50,10.0,1.0,3.52730587336,3.01935813517
51,10.0,2.0,-1.93162575914,4.56339651087
52,10.0,3.0,1.28561650867,-3.39351540531
53,10.0,4.0,-0.760838659521,5.25609608366
54,10.0,5.0,-9.08299411389,2.66671200619
55,11.0,1.0,3.52730587336,3.01935813517
56,11.0,2.0,-1.93162575914,4.56339651087
57,11.0,3.0,1.28561650867,-3.39351540531
58,11.0,4.0,-0.760838659521,5.25609608366
59,11.0,5.0,-9.08299411389,2.66671200619
60,12.0,1.0,3.60203903582,2.97357442697
61,12.0,2.0,-1.91939727275,4.57288943577
62,12.0,3.0,1.28712039055,-3.39201152343
63,12.0,4.0,-0.704925860346,5.24805585579
64,12.0,5.0,-9.08299411389,2.66671200619
65,13.0,1.0,3.60203903582,2.97357442697
66,13.0,2.0,-1.91939727275,4.57288943577
67,13.0,3.0,1.28712039055,-3.39201152343
68,13.0,4.0,-0.704925860346,5.24805585579
69,13.0,5.0,-9.08299411389,2.66671200619
70,14.0,1.0,3.66237826933,3.0187997932
71,14.0,2.0,-1.91806138932,4.5742253192
72,14.0,3.0,1.28712039055,-3.39201152343
73,14.0,4.0,-0.671308767058,5.24227524316
74,14.0,5.0,-9.08299411389,2.66671200619
75,15.0,1.0,3.66237826933,3.0187997932
76,15.0,2.0,-1.91806138932,4.5742253192
77,15.0,3.0,1.28712039055,-3.39201152343
78,15.0,4.0,-0.671308767058,5.24227524316
79,15.0,5.0,-9.08299411389,2.66671200619
80,16.0,1.0,3.66237826933,3.0187997932
81,16.0,2.0,-1.9093582124,4.57467487457
82,16.0,3.0,1.28704862264,-3.39193975552
83,16.0,4.0,-0.64716121657,5.22361393076
84,16.0,5.0,-9.08299411389,2.66671200619
85,17.0,1.0,3.66237826933,3.0187997932
86,17.0,2.0,-1.9093582124,4.57467487457
87,17.0,3.0,1.28704862264,-3.39193975552
88,17.0,4.0,-0.64716121657,5.22361393076
89,17.0,5.0,-9.08299411389,2.66671200619
90,18.0,1.0,3.66237826933,3.0187997932
91,18.0,2.0,-1.90679914817,4.5772339388
92,18.0,3.0,1.28704862264,-3.39193975552
93,18.0,4.0,-0.632819892453,5.22059989122
94,18.0,5.0,-9.08299411389,2.66671200619
95,19.0,1.0,3.66237826933,3.0187997932
96,19.0,2.0,-1.90679914817,4.5772339388
97,19.0,3.0,1.28704862264,-3.39193975552
98,19.0,4.0,-0.632819892453,5.22059989122
99,19.0,5.0,-9.08299411389,2.66671200619
100,20.0,1.0,3.66237826933,3.0187997932
101,20.0,2.0,-1.91092595895,4.58136074957
102,20.0,3.0,1.28712039055,-3.39201152343
103,20.0,4.0,-0.632399180818,5.22102060286
104,20.0,5.0,-9.08299411389,2.66671200619
105,21.0,1.0,3.66237826933,3.0187997932
106,21.0,2.0,-1.91092595895,4.58136074957
107,21.0,3.0,1.28712039055,-3.39201152343
108,21.0,4.0,-0.632399180818,5.22102060286
109,21.0,5.0,-9.08299411389,2.66671200619
110,22.0,1.0,3.66237826933,3.0187997932
111,22.0,2.0,-1.91092595895,4.58136074957
112,22.0,3.0,1.28712039055,-3.39201152343
113,22.0,4.0,-0.632399180818,5.22102060286
114,22.0,5.0,-9.08299411389,2.66671200619
