param NumberOfPoints:=1000;
param NumberOfDimensions:=2;
param NumberOfClusters:=1;
param Point:=
1 1 -6.63281102522178
1 2 -9.147567205299888
2 1 -6.4856562571440435
2 2 -8.739371722779577
3 1 -7.278100829273917
3 2 -8.007134883610684
4 1 -7.7361594882340246
4 2 -10.60663363969306
5 1 -6.78746498476095
5 2 -9.308042041266072
6 1 -5.9046858800148865
6 2 -7.620366098427637
7 1 -6.209908394490907
7 2 -8.858231000932081
8 1 -8.065838083086454
8 2 -8.906046614041456
9 1 -5.827834053546922
9 2 -11.747629802183988
10 1 -7.605510863437543
10 2 -8.135454642716038
11 1 -6.958965409780518
11 2 -8.482360244795919
12 1 -7.938088966268864
12 2 -8.427582248883713
13 1 -8.346057924237785
13 2 -8.978056818338366
14 1 -8.510470515113148
14 2 -8.762847782237271
15 1 -7.294308196920657
15 2 -9.493828302500711
16 1 -7.135960972785551
16 2 -8.877025808973013
17 1 -6.557415817094818
17 2 -11.071504778234232
18 1 -4.45381567098673
18 2 -9.221969093538487
19 1 -8.835601173320573
19 2 -9.335781632034228
20 1 -7.076295749357895
20 2 -8.78033929787265
21 1 -6.2793093103607935
21 2 -9.445854485545379
22 1 -6.560089968608174
22 2 -8.096539418771716
23 1 -7.021680869077076
23 2 -8.375490301213862
24 1 -6.459932061691944
24 2 -9.172643438151582
25 1 -7.025502036475753
25 2 -8.864901092965193
26 1 -7.403997873019805
26 2 -10.544673026009725
27 1 -5.9320171807276045
27 2 -11.179493065180061
28 1 -7.807941673354768
28 2 -10.997494497148441
29 1 -5.779330044355105
29 2 -8.013646244778752
30 1 -5.480221051014588
30 2 -8.537427727450288
31 1 -5.8309349967414725
31 2 -10.620272713197695
32 1 -6.693170713250118
32 2 -7.561961272088357
33 1 -6.195248008107037
33 2 -10.695540875250106
34 1 -7.4929469712778864
34 2 -8.492402679871958
35 1 -7.194241377400855
35 2 -9.530262231950987
36 1 -5.665003011883324
36 2 -10.057590656623166
37 1 -7.32299320419578
37 2 -9.407548245545643
38 1 -5.96851669503393
38 2 -10.347200190404262
39 1 -6.488648505075461
39 2 -9.382980334982493
40 1 -8.099090817581416
40 2 -9.027406144762645
41 1 -4.683546567007049
41 2 -8.817765891226578
42 1 -7.2509222195049094
42 2 -9.741636859740911
43 1 -6.345386514393069
43 2 -8.830908000073647
44 1 -6.76633439984261
44 2 -10.064689027544288
45 1 -6.218031769943786
45 2 -10.179316394153
46 1 -6.150483660350246
46 2 -10.548597719793262
47 1 -6.045239680723395
47 2 -8.135121910984866
48 1 -6.2832355416043555
48 2 -7.871006483753366
49 1 -6.962052445744936
49 2 -7.886820018633073
50 1 -7.007423997554497
50 2 -6.412168213592345
51 1 -6.0894508915980134
51 2 -7.321815493987793
52 1 -6.074888286663277
52 2 -8.45607207443397
53 1 -4.8670084251655386
53 2 -7.214550066536512
54 1 -7.219732691929446
54 2 -8.909150920073133
55 1 -6.770296405096059
55 2 -8.590057835235662
56 1 -4.614027787134154
56 2 -8.055604696838493
57 1 -6.566342634103583
57 2 -8.519888020824354
58 1 -5.493302913764025
58 2 -6.223054580321794
59 1 -7.1105171431972805
59 2 -8.252034949764008
60 1 -6.577528384951276
60 2 -8.972087724638891
61 1 -6.402673299178113
61 2 -10.281605151128453
62 1 -8.361248943085204
