,0,1,cluster,KMeans
0,-6.63281102522178,-9.147567205299888,blue,blue
1,-6.4856562571440435,-8.739371722779577,blue,blue
2,-7.278100829273917,-8.007134883610684,blue,blue
3,-7.7361594882340246,-10.60663363969306,blue,blue
4,-6.78746498476095,-9.308042041266072,blue,blue
5,-5.9046858800148865,-7.620366098427637,blue,blue
6,-6.209908394490907,-8.858231000932081,blue,blue
7,-8.065838083086454,-8.906046614041456,blue,blue
8,-5.827834053546922,-11.747629802183988,blue,blue
9,-7.605510863437543,-8.135454642716038,blue,blue
10,-6.958965409780518,-8.482360244795919,blue,blue
11,-7.938088966268864,-8.427582248883713,blue,blue
12,-8.346057924237785,-8.978056818338366,blue,blue
13,-8.510470515113148,-8.762847782237271,blue,blue
14,-7.294308196920657,-9.493828302500711,blue,blue
15,-7.135960972785551,-8.877025808973013,blue,blue
16,-6.557415817094818,-11.071504778234232,blue,blue
17,-4.45381567098673,-9.221969093538487,blue,blue
18,-8.835601173320573,-9.335781632034228,blue,blue
19,-7.076295749357895,-8.78033929787265,blue,blue
20,-6.2793093103607935,-9.445854485545379,blue,blue
21,-6.560089968608174,-8.096539418771716,blue,blue
22,-7.021680869077076,-8.375490301213862,blue,blue
23,-6.459932061691944,-9.172643438151582,blue,blue
24,-7.025502036475753,-8.864901092965193,blue,blue
25,-7.403997873019805,-10.544673026009725,blue,blue
26,-5.9320171807276045,-11.179493065180061,blue,blue
27,-7.807941673354768,-10.997494497148441,blue,blue
28,-5.779330044355105,-8.013646244778752,blue,blue
29,-5.480221051014588,-8.537427727450288,blue,blue
30,-5.8309349967414725,-10.620272713197695,blue,blue
31,-6.693170713250118,-7.561961272088357,blue,blue
32,-6.195248008107037,-10.695540875250106,blue,blue
33,-7.4929469712778864,-8.492402679871958,blue,blue
34,-7.194241377400855,-9.530262231950987,blue,blue
35,-5.665003011883324,-10.057590656623166,blue,blue
36,-7.32299320419578,-9.407548245545643,blue,blue
37,-5.96851669503393,-10.347200190404262,blue,blue
38,-6.488648505075461,-9.382980334982493,blue,blue
39,-8.099090817581416,-9.027406144762645,blue,blue
40,-4.683546567007049,-8.817765891226578,blue,blue
41,-7.2509222195049094,-9.741636859740911,blue,blue
42,-6.345386514393069,-8.830908000073647,blue,blue
43,-6.76633439984261,-10.064689027544288,blue,blue
44,-6.218031769943786,-10.179316394153,blue,blue
45,-6.150483660350246,-10.548597719793262,blue,blue
46,-6.045239680723395,-8.135121910984866,blue,blue
47,-6.2832355416043555,-7.871006483753366,blue,blue
48,-6.962052445744936,-7.886820018633073,blue,blue
49,-7.007423997554497,-6.412168213592345,blue,blue
50,-6.0894508915980134,-7.321815493987793,blue,blue
51,-6.074888286663277,-8.45607207443397,blue,blue
52,-4.8670084251655386,-7.214550066536512,blue,blue
53,-7.219732691929446,-8.909150920073133,blue,blue
54,-6.770296405096059,-8.590057835235662,blue,blue
55,-4.614027787134154,-8.055604696838493,blue,blue
56,-6.566342634103583,-8.519888020824354,blue,blue
57,-5.493302913764025,-6.223054580321794,blue,blue
58,-7.1105171431972805,-8.252034949764008,blue,blue
59,-6.577528384951276,-8.972087724638891,blue,blue
60,-6.402673299178113,-10.281605151128453,blue,blue
61,-8.361248943085204,-8.91067102394188,blue,blue
62,-8.36742873358743,-9.987413561594908,blue,blue
63,-6.472543635206794,-8.331269169852824,blue,blue
64,-7.2944423077688425,-12.146051989783938,blue,blue
65,-8.100561138701563,-7.912171970346577,blue,blue
66,-5.998315783813943,-7.757698504509333,blue,blue
67,-6.248885882414589,-10.625005065497328,blue,blue
68,-6.937501876902962,-9.427787018187543,blue,blue
69,-6.740184594771947,-10.396989652264853,blue,blue
70,-7.585013251503979,-11.09507918350693,blue,blue
71,-5.610409546793677,-8.5327180132951,blue,blue
72,-5.902242852177248,-8.673557219646927,blue,blue
73,-7.294548621727612,-10.849247211078238,blue,blue
74,-4.675243368151792,-10.195588887422097,blue,blue
75,-6.252952150513235,-8.462205464375236,blue,blue
76,-6.481167896474499,-8.564321664549862,blue,blue
77,-6.49016863706945,-8.676707122918588,blue,blue
