,0,1,cluster,KMeans,ID
0,-3.211401189991144,5.1322702219051495,blue,blue,1
1,0.36414182610280155,4.999552922069104,blue,blue,2
2,-1.455245841149058,5.058332569260731,blue,blue,3
3,-1.9075077540327396,4.408791478136624,blue,blue,4
4,1.448127990624335,5.851568519932084,blue,blue,5
5,-0.5370580759833559,5.0338499057722785,blue,blue,6
6,0.8177781787262581,6.147007646179817,blue,blue,7
7,-0.688588579320888,5.016310289994286,blue,blue,8
8,-1.461200758874714,4.540108964491436,blue,blue,9
9,-0.6276025925355283,6.845948166490812,blue,blue,10
10,-1.6463014483166263,3.503536246386932,blue,blue,11
11,0.8353337297735748,3.6149206616046348,blue,blue,12
12,-1.1061138928357255,6.080674672609836,blue,blue,13
13,0.3751655267960292,3.4044168339424816,blue,blue,14
14,-0.2641188273826907,4.746285955659492,blue,blue,15
15,0.800658897655552,4.481079952526995,blue,blue,16
16,-0.9099232315614981,6.310473303113001,blue,blue,17
17,-1.153391587448314,5.838728540700809,blue,blue,18
18,-2.296058131262475,4.613015422056057,blue,blue,19
19,-1.4755562687999841,5.775467272682128,blue,blue,20
20,-0.48192921493217583,5.301784318921531,blue,blue,21
21,-2.375675652840566,3.15408462834026,blue,blue,22
22,-1.0860664399010864,4.070069900486697,blue,blue,23
23,-1.8008289794607724,5.943628504014331,blue,blue,24
24,-2.632588269900215,5.665437825564536,blue,blue,25
25,-1.365578302930745,4.688605986649855,blue,blue,26
26,-0.08263989364938307,4.286471094765733,blue,blue,27
27,0.5134242064640768,5.0168256093667365,blue,blue,28
28,-1.1836410116307752,5.003067674995793,blue,blue,29
29,-0.9125482270577976,2.699121748205039,blue,blue,30
30,-0.7950571406355035,5.040687954819054,blue,blue,31
31,0.6651961454516073,5.101487388688289,blue,blue,32
32,0.6738249449351363,7.052234510581547,blue,blue,33
33,-0.21249582875434542,4.678156499500505,blue,blue,34
34,-0.7163358402404141,4.230699978612114,blue,blue,35
35,-0.5912968345579833,3.202166811229059,blue,blue,36
36,-0.15884309049703205,4.440423869973803,blue,blue,37
37,-1.5654110833426977,3.4692106969717225,blue,blue,38
38,-0.5087252312373517,6.327382046590152,blue,blue,39
39,-0.5285082421656988,5.655802765497486,blue,blue,40
40,1.433564918797519,6.051685529218602,blue,blue,41
41,-1.0674163840222854,6.0493128881055585,blue,blue,42
42,-1.6067355954839728,3.057431858138165,blue,blue,43
43,-0.0823465768161672,4.416787881503634,blue,blue,44
44,0.10210849081412865,4.199702969164537,blue,blue,45
45,0.3006890053922451,4.355617887100951,blue,blue,46
46,-0.6255547532850505,5.468283724226423,blue,blue,47
